position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
attacking midfielder,68.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,Uruguay
centre forward,67.8,7.4,0.4,0.2,1.2,2.2,0.6,0.4,0.8,4.2,0.8,0.6,0.0,0.6,0.0,1.0,2.2,0.0,0.0,Uruguay
central midfielder,72.0,7.0,0.0,0.0,0.5,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,1.5,3.5,0.5,0.0,Uruguay
left wing,90.0,8.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,6.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,Uruguay
right wing,71.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Uruguay
central midfielder,90.0,7.6,0.0,0.0,0.0,0.8,4.8,2.8,1.0,7.2,0.8,4.0,2.0,1.2,0.6,1.0,1.6,0.4,0.0,Uruguay
defensive midfielder,85.0,8.0,0.0,0.33,0.0,0.67,5.67,4.0,1.33,7.33,0.67,3.67,1.33,1.0,0.67,1.0,1.33,0.33,0.0,Uruguay
centre back,78.75,7.25,0.0,0.0,0.0,0.25,6.25,3.25,0.0,4.75,0.0,1.75,2.0,2.25,0.75,0.25,0.25,0.5,0.0,Uruguay
central midfielder,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Uruguay
centre forward,67.5,6.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,3.5,0.5,1.5,0.0,0.5,0.0,0.5,2.0,0.0,0.0,Uruguay
left wing,88.5,7.0,0.0,0.0,0.5,1.5,0.5,0.0,1.0,4.0,1.0,1.0,0.5,0.0,0.0,1.5,4.0,0.0,0.0,Uruguay
right midfielder,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Uruguay
right wing,70.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Uruguay
central midfielder,45.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Uruguay
centre back,82.18,7.0,0.0,0.0,0.0,0.18,4.55,2.09,0.0,4.82,0.09,1.91,1.36,4.0,1.0,0.0,0.0,0.09,0.0,Uruguay
central midfielder,90.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Uruguay
defensive midfielder,90.0,7.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Uruguay
centre back,85.0,7.11,0.0,0.0,0.0,0.44,6.44,3.0,0.0,4.11,0.11,1.67,1.56,4.67,0.78,0.0,0.0,0.11,0.0,Uruguay
left midfielder,90.0,7.5,0.0,0.0,0.5,1.5,1.5,0.5,1.0,7.0,1.0,2.5,1.0,0.5,0.0,2.5,5.0,0.0,0.0,Uruguay
left wing,85.17,7.33,0.0,0.42,0.5,1.0,1.67,0.67,1.25,6.33,1.08,2.67,1.17,1.0,0.08,1.83,3.83,0.0,0.0,Uruguay
centre back,90.0,7.25,0.0,0.25,0.0,0.25,4.5,1.75,0.25,5.25,0.0,2.25,1.25,5.25,1.0,0.0,0.0,0.5,0.0,Uruguay
left back,65.43,6.86,0.14,0.0,0.14,0.29,3.29,1.43,0.14,4.0,0.43,2.0,1.29,1.86,0.57,0.14,0.71,0.29,0.0,Uruguay
centre back,65.5,7.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,1.0,1.5,3.0,2.0,0.0,0.0,0.0,0.0,Uruguay
goal keeper,90.0,7.25,0.0,0.0,0.0,0.0,11.5,4.75,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,Uruguay
left wing,45.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,Uruguay
central midfielder,90.0,7.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,6.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,Uruguay
right back,84.1,7.0,0.0,0.0,0.0,0.2,3.9,1.4,0.3,5.6,1.2,3.3,1.4,2.0,0.2,0.5,0.9,0.5,0.0,Uruguay
right midfielder,90.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Uruguay
centre forward,75.0,7.15,0.38,0.23,1.0,2.62,0.15,0.0,0.69,4.15,0.31,0.85,0.0,0.77,0.08,0.69,1.62,0.08,0.0,Uruguay
left back,83.5,7.0,0.0,0.0,0.0,0.0,5.5,1.0,1.0,5.5,1.0,3.0,1.5,2.5,0.0,0.5,0.5,0.0,0.0,Uruguay
left back,90.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,Uruguay
centre forward,45.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Uruguay
right wing,73.67,7.0,0.0,0.13,0.13,0.93,0.6,0.13,0.87,4.67,0.8,1.8,0.67,0.47,0.0,1.67,3.8,0.0,0.0,Uruguay
left back,68.0,6.8,0.0,0.0,0.0,0.6,3.6,1.6,0.6,3.8,0.4,2.2,1.2,1.2,0.2,0.8,1.2,0.0,0.0,Uruguay
centre back,90.0,7.0,0.0,0.0,0.0,0.33,5.5,2.33,0.17,5.5,0.17,2.17,2.17,4.0,1.33,0.0,0.0,0.33,0.0,Uruguay
right back,90.0,7.5,0.5,0.0,0.5,1.0,4.5,2.0,0.5,6.0,0.0,2.0,1.5,2.5,0.5,0.5,0.5,0.0,0.0,Uruguay
goal keeper,90.0,7.21,0.0,0.0,0.0,0.0,16.14,6.43,0.0,0.64,0.0,0.14,0.07,1.07,0.14,0.0,0.0,0.0,0.0,Uruguay
left wing,72.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,Uruguay
left back,84.5,7.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.5,1.0,1.5,1.5,2.5,0.5,1.0,1.5,0.0,0.0,Uruguay
centre forward,90.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Uruguay
central midfielder,82.0,7.14,0.0,0.0,0.0,0.14,2.57,1.43,0.14,6.71,2.14,3.43,1.86,1.29,0.57,0.86,1.71,0.43,0.0,Uruguay
centre back,90.0,7.0,0.0,0.0,1.0,1.0,9.0,6.0,0.0,9.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,Uruguay
defensive midfielder,76.57,7.29,0.14,0.0,0.14,0.14,2.14,1.43,0.29,6.0,0.71,3.57,1.71,1.14,0.57,0.57,0.71,0.14,0.0,Uruguay
