position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
left back,78.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,Colombia
central midfielder,75.33,7.0,0.0,0.0,0.0,1.0,2.0,1.67,1.0,4.0,0.67,1.33,0.67,0.0,0.0,1.0,2.67,0.0,0.0,Colombia
right wing,62.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,Colombia
defensive midfielder,90.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Colombia
left back,84.33,7.0,0.0,0.0,0.0,0.0,3.67,1.33,1.33,5.0,0.67,2.33,1.33,1.67,0.33,0.67,0.67,0.0,0.0,Colombia
centre forward,70.0,7.2,0.4,0.0,0.4,1.6,0.0,0.0,0.4,3.4,0.2,0.8,0.0,0.6,0.0,0.0,0.4,0.0,0.0,Colombia
right wing,80.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
left back,45.0,8.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Colombia
left wing,56.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,Colombia
central midfielder,58.0,7.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,Colombia
defensive midfielder,74.0,7.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,Colombia
right wing,45.0,7.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,Colombia
central midfielder,79.5,7.0,0.0,0.5,0.0,0.0,3.0,2.0,1.0,6.0,1.0,3.0,2.0,1.5,1.0,0.5,0.5,0.5,0.0,Colombia
defensive midfielder,78.0,6.8,0.0,0.0,0.0,0.2,3.0,2.0,0.6,4.4,0.8,2.2,1.8,0.8,0.6,0.2,0.2,0.2,0.0,Colombia
right wing,45.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Colombia
centre back,78.75,7.0,0.0,0.0,0.0,0.25,3.0,1.25,0.0,4.25,0.0,1.75,1.25,3.5,1.0,0.0,0.0,0.25,0.0,Colombia
centre forward,65.71,7.0,0.29,0.0,1.29,2.86,0.0,0.0,0.86,4.71,0.43,0.86,0.0,0.57,0.14,0.43,1.29,0.29,0.0,Colombia
centre back,84.25,6.75,0.0,0.0,0.0,0.5,4.75,2.25,0.0,5.5,0.5,2.0,1.75,4.0,1.0,0.0,0.0,0.5,0.0,Colombia
centre back,90.0,7.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,5.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,Colombia
centre forward,58.33,6.67,0.33,0.17,1.0,1.83,0.0,0.0,0.67,4.17,0.0,0.67,0.0,0.67,0.0,0.5,1.33,0.5,0.0,Colombia
centre forward,90.0,8.0,0.33,0.0,1.33,4.33,1.0,0.67,1.33,8.33,1.33,1.33,1.0,0.0,0.33,3.67,7.33,0.0,0.0,Colombia
left wing,85.71,7.43,0.43,0.21,1.36,3.36,1.07,0.29,1.5,6.5,0.93,1.07,0.57,0.07,0.0,2.79,6.0,0.0,0.0,Colombia
left back,90.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Colombia
right wing,8.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
left wing,62.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Colombia
