position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
right wing,88.14,8.0,0.86,0.43,2.14,4.14,3.86,2.71,3.14,5.71,1.29,0.43,0.0,0.0,0.0,2.43,5.0,0.0,0.0,Argentina
right back,81.64,6.64,0.0,0.14,0.0,0.29,3.57,1.64,0.71,3.86,0.79,2.0,1.29,1.79,0.5,0.5,1.07,0.07,0.0,Argentina
right midfielder,90.0,7.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,Argentina
right back,53.6,6.6,0.0,0.0,0.0,0.0,2.4,1.0,0.0,2.2,1.0,1.4,1.0,1.4,0.2,0.0,0.2,0.2,0.0,Argentina
centre back,85.53,7.18,0.18,0.0,0.24,0.65,5.35,3.12,0.0,5.18,0.12,1.88,1.71,3.88,0.88,0.0,0.0,0.65,0.06,Argentina
central midfielder,13.0,7.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
defensive midfielder,90.0,7.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,6.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,Argentina
central midfielder,75.0,7.0,0.0,0.0,0.33,1.0,4.33,4.33,1.33,4.33,0.33,2.67,2.0,1.33,0.67,0.0,0.0,0.33,0.0,Argentina
defensive midfielder,77.0,7.33,0.0,0.0,0.33,1.0,5.0,3.67,0.67,4.33,0.33,2.67,2.0,1.33,1.0,0.0,0.0,0.33,0.0,Argentina
attacking midfielder,57.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Argentina
centre back,67.5,7.0,0.0,0.0,0.0,0.0,3.5,1.0,0.0,4.0,0.0,2.0,1.5,3.5,1.0,0.0,0.0,0.5,0.0,Argentina
right back,56.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Argentina
centre back,84.0,7.4,0.0,0.0,0.0,0.27,4.27,2.53,0.0,6.07,0.2,2.8,2.13,3.8,0.93,0.07,0.07,0.2,0.0,Argentina
goal keeper,90.0,7.0,0.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Argentina
right wing,51.6,6.8,0.2,0.0,0.6,1.0,0.6,0.0,0.6,4.2,0.4,1.4,0.4,0.2,0.0,1.0,1.6,0.0,0.0,Argentina
left back,86.43,7.0,0.07,0.07,0.07,0.36,2.93,1.29,0.64,5.36,0.14,2.57,1.93,2.43,0.64,0.14,0.21,0.21,0.0,Argentina
centre forward,83.33,7.0,0.25,0.25,0.83,1.92,0.67,0.25,1.17,4.0,0.42,1.17,0.33,0.08,0.08,0.75,1.83,0.08,0.0,Argentina
left wing,73.5,7.25,0.25,0.0,0.5,1.75,1.0,0.75,1.25,4.0,0.75,1.25,0.0,0.0,0.25,1.0,2.0,0.0,0.0,Argentina
