players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
Modrić,defensive midfielder,82.75,8.0,0.25,0.75,0.5,1.5,7.5,6.0,3.25,5.0,0.5,1.75,1.75,0.75,0.0,1.25,1.5,0.0,0.0,Croatia
Moro,defensive midfielder,67.5,7.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,5.0,0.5,2.5,1.5,1.0,0.0,1.0,1.0,0.0,0.0,Croatia
Musa,centre forward,52.5,7.5,0.5,0.5,1.0,2.5,0.0,0.0,1.0,3.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,Croatia
P Sucić,attacking midfielder,90.0,8.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,11.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,Croatia
P Sucić,defensive midfielder,73.8,7.4,0.0,0.0,0.4,0.8,3.8,3.2,1.6,6.0,0.4,3.8,1.6,0.8,0.4,0.8,1.0,0.4,0.0,Croatia
Pasalić,right wing,61.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Croatia
Perisić,left wing,83.75,8.0,0.75,0.75,1.75,4.25,3.25,2.0,3.25,5.75,0.5,1.5,1.0,0.75,0.0,2.5,4.0,0.0,0.0,Croatia
Perisić,left wingback,71.0,8.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,Croatia
Perisić,right wing,87.0,8.0,1.0,0.0,2.0,3.0,3.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,Croatia
Pongracić,centre back,71.25,7.25,0.0,0.0,0.25,0.75,3.5,2.25,0.25,4.25,0.0,2.0,1.25,2.0,0.5,0.0,0.0,0.25,0.0,Croatia
Sosa,left back,51.0,7.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Croatia
Stanisić,centre back,90.0,8.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,Croatia
Stanisić,left back,90.0,8.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,5.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,Croatia
Stanisić,right back,66.33,7.0,0.0,0.0,0.33,0.67,2.33,1.33,0.67,3.67,0.0,2.0,1.0,1.33,0.33,0.67,1.0,0.0,0.0,Croatia
Sutalo,centre back,81.0,7.4,0.0,0.0,0.0,0.0,4.8,3.4,0.0,5.0,0.0,2.0,1.8,3.4,1.0,0.4,0.4,0.0,0.0,Croatia
Vlasić,attacking midfielder,59.5,7.5,1.0,0.0,2.0,3.0,1.5,1.0,1.5,4.5,0.0,1.0,0.5,0.0,0.0,1.5,3.5,0.0,0.0,Croatia
Vusković,centre back,90.0,8.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,6.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,Croatia
